d3mIndex,cultivar,sitename,day,canopy_height
34,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,133,341
69,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,133,336
91,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,133,348
118,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,133,399
145,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,133,364
164,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,122,340
186,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,124,283
223,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,132,309
245,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,122,338
281,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,132,375
300,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,122,334
330,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,133,328
349,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,122,330
368,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,122,277
387,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,122,288
433,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,133,355
479,PI152727,MAC Field Scanner Season 4 Range 30 Column 9,133,344
518,PI152728,MAC Field Scanner Season 4 Range 44 Column 5,132,398
541,PI152728,MAC Field Scanner Season 4 Range 44 Column 6,124,313
568,PI152728,MAC Field Scanner Season 4 Range 5 Column 15,133,354
607,PI152730,MAC Field Scanner Season 4 Range 45 Column 11,132,370
646,PI152730,MAC Field Scanner Season 4 Range 45 Column 12,132,350
686,PI152733,MAC Field Scanner Season 4 Range 48 Column 13,132,399
726,PI152733,MAC Field Scanner Season 4 Range 48 Column 14,132,385
762,PI152751,MAC Field Scanner Season 4 Range 52 Column 11,132,350
783,PI152751,MAC Field Scanner Season 4 Range 52 Column 12,124,311
805,PI152771,MAC Field Scanner Season 4 Range 36 Column 7,122,364
841,PI152771,MAC Field Scanner Season 4 Range 36 Column 8,132,384
874,PI152816,MAC Field Scanner Season 4 Range 29 Column 3,133,298
907,PI152816,MAC Field Scanner Season 4 Range 29 Column 4,133,336
941,PI152923,MAC Field Scanner Season 4 Range 26 Column 10,133,366
975,PI152923,MAC Field Scanner Season 4 Range 26 Column 9,133,359
1011,PI152923,MAC Field Scanner Season 4 Range 35 Column 5,132,333
1033,PI152923,MAC Field Scanner Season 4 Range 35 Column 6,122,341
1064,PI152961,MAC Field Scanner Season 4 Range 21 Column 7,133,348
1084,PI152961,MAC Field Scanner Season 4 Range 21 Column 8,122,337
1106,PI152961,MAC Field Scanner Season 4 Range 32 Column 3,133,347
1128,PI152961,MAC Field Scanner Season 4 Range 32 Column 4,133,321
1147,PI152971,MAC Field Scanner Season 4 Range 15 Column 13,122,361
1166,PI152971,MAC Field Scanner Season 4 Range 15 Column 14,122,312
1189,PI152971,MAC Field Scanner Season 4 Range 28 Column 3,133,300
1212,PI152971,MAC Field Scanner Season 4 Range 28 Column 4,133,316
1243,PI153877,MAC Field Scanner Season 4 Range 19 Column 5,133,376
1262,PI153877,MAC Field Scanner Season 4 Range 19 Column 6,122,376
1284,PI153877,MAC Field Scanner Season 4 Range 34 Column 10,133,328
1306,PI153877,MAC Field Scanner Season 4 Range 34 Column 9,133,337
1328,PI154844,MAC Field Scanner Season 4 Range 42 Column 7,122,348
1364,PI154844,MAC Field Scanner Season 4 Range 42 Column 8,132,344
1386,PI154846,MAC Field Scanner Season 4 Range 39 Column 15,122,350
1426,PI154944,MAC Field Scanner Season 4 Range 48 Column 5,132,370
1466,PI154944,MAC Field Scanner Season 4 Range 48 Column 6,129,378
1483,PI154987,MAC Field Scanner Season 4 Range 5 Column 10,122,369
1510,PI154987,MAC Field Scanner Season 4 Range 5 Column 9,133,361
1532,PI154988,MAC Field Scanner Season 4 Range 50 Column 13,124,336
1554,PI154988,MAC Field Scanner Season 4 Range 50 Column 14,124,329
1582,PI155516,MAC Field Scanner Season 4 Range 7 Column 13,133,383
1610,PI155516,MAC Field Scanner Season 4 Range 7 Column 14,133,368
1630,PI155760,MAC Field Scanner Season 4 Range 21 Column 11,122,359
1661,PI155760,MAC Field Scanner Season 4 Range 21 Column 12,133,373
1697,PI155760,MAC Field Scanner Season 4 Range 52 Column 7,128,389
1718,PI155760,MAC Field Scanner Season 4 Range 52 Column 8,124,383
1738,PI155885,MAC Field Scanner Season 4 Range 25 Column 11,122,334
1758,PI155885,MAC Field Scanner Season 4 Range 25 Column 12,122,350
1780,PI155885,MAC Field Scanner Season 4 Range 36 Column 3,122,341
1816,PI155885,MAC Field Scanner Season 4 Range 36 Column 4,132,339
1844,PI156178,MAC Field Scanner Season 4 Range 8 Column 10,133,376
1872,PI156178,MAC Field Scanner Season 4 Range 8 Column 9,133,394
1889,PI156217,MAC Field Scanner Season 4 Range 4 Column 13,122,325
1916,PI156217,MAC Field Scanner Season 4 Range 4 Column 14,133,368
1939,PI156268,MAC Field Scanner Season 4 Range 44 Column 10,124,369
1978,PI156268,MAC Field Scanner Season 4 Range 44 Column 9,132,387
2001,PI156326,MAC Field Scanner Season 4 Range 48 Column 15,124,319
2024,PI156487,MAC Field Scanner Season 4 Range 44 Column 7,124,364
2063,PI156487,MAC Field Scanner Season 4 Range 44 Column 8,132,399
2092,PI156890,MAC Field Scanner Season 4 Range 15 Column 7,133,340
2121,PI156890,MAC Field Scanner Season 4 Range 15 Column 8,133,357
2140,PI157030,MAC Field Scanner Season 4 Range 17 Column 13,122,332
2170,PI157030,MAC Field Scanner Season 4 Range 17 Column 14,133,370
2189,PI157035,MAC Field Scanner Season 4 Range 19 Column 13,122,323
2220,PI157035,MAC Field Scanner Season 4 Range 19 Column 14,133,350
2243,PI157035,MAC Field Scanner Season 4 Range 45 Column 15,124,322
2265,PI157804,MAC Field Scanner Season 4 Range 38 Column 13,122,378
2301,PI157804,MAC Field Scanner Season 4 Range 38 Column 14,132,365
2324,PI170787,MAC Field Scanner Season 4 Range 27 Column 10,133,340
2359,PI170787,MAC Field Scanner Season 4 Range 27 Column 9,133,340
2387,PI175919,MAC Field Scanner Season 4 Range 10 Column 5,133,337
2415,PI175919,MAC Field Scanner Season 4 Range 10 Column 6,133,320
2451,PI175919,MAC Field Scanner Season 4 Range 38 Column 7,132,381
2473,PI175919,MAC Field Scanner Season 4 Range 38 Column 8,122,356
2509,PI176766,MAC Field Scanner Season 4 Range 36 Column 10,128,397
2531,PI176766,MAC Field Scanner Season 4 Range 36 Column 9,122,390
2559,PI176766,MAC Field Scanner Season 4 Range 8 Column 3,133,316
2587,PI176766,MAC Field Scanner Season 4 Range 8 Column 4,133,307
2606,PI179749,MAC Field Scanner Season 4 Range 10 Column 11,122,358
2634,PI179749,MAC Field Scanner Season 4 Range 10 Column 12,133,369
2653,PI180348,MAC Field Scanner Season 4 Range 11 Column 7,122,272
2672,PI180348,MAC Field Scanner Season 4 Range 11 Column 8,122,264
2701,PI181080,MAC Field Scanner Season 4 Range 12 Column 10,133,268
2730,PI181080,MAC Field Scanner Season 4 Range 12 Column 9,133,253
2752,PI181080,MAC Field Scanner Season 4 Range 33 Column 3,133,282
2774,PI181080,MAC Field Scanner Season 4 Range 33 Column 4,133,273
2793,PI181083,MAC Field Scanner Season 4 Range 11 Column 10,122,266
2820,PI181083,MAC Field Scanner Season 4 Range 11 Column 9,133,281
2842,PI181083,MAC Field Scanner Season 4 Range 50 Column 3,124,293
2880,PI181083,MAC Field Scanner Season 4 Range 50 Column 4,132,312
2902,PI195754,MAC Field Scanner Season 4 Range 31 Column 3,133,310
2924,PI195754,MAC Field Scanner Season 4 Range 31 Column 4,133,298
2947,PI196586,MAC Field Scanner Season 4 Range 27 Column 13,133,357
2970,PI196586,MAC Field Scanner Season 4 Range 27 Column 14,133,343
3001,PI196598,MAC Field Scanner Season 4 Range 18 Column 5,133,349
3032,PI196598,MAC Field Scanner Season 4 Range 18 Column 6,133,320
3069,PI19770,MAC Field Scanner Season 4 Range 51 Column 15,132,334
3098,PI213900,MAC Field Scanner Season 4 Range 12 Column 13,133,286
3127,PI213900,MAC Field Scanner Season 4 Range 12 Column 14,133,331
3163,PI213900,MAC Field Scanner Season 4 Range 38 Column 3,132,311
3185,PI213900,MAC Field Scanner Season 4 Range 38 Column 4,122,304
3204,PI217691,MAC Field Scanner Season 4 Range 18 Column 11,122,336
3223,PI217691,MAC Field Scanner Season 4 Range 18 Column 12,122,316
3242,PI221548,MAC Field Scanner Season 4 Range 12 Column 11,122,296
3271,PI221548,MAC Field Scanner Season 4 Range 12 Column 12,133,297
3294,PI221651,MAC Field Scanner Season 4 Range 28 Column 13,133,342
3328,PI221651,MAC Field Scanner Season 4 Range 28 Column 14,133,290
3355,PI221651,MAC Field Scanner Season 4 Range 5 Column 5,133,394
3382,PI221651,MAC Field Scanner Season 4 Range 5 Column 6,132,395
3409,PI22913,MAC Field Scanner Season 4 Range 3 Column 5,133,397
3426,PI22913,MAC Field Scanner Season 4 Range 3 Column 6,122,394
3448,PI22913,MAC Field Scanner Season 4 Range 34 Column 7,133,338
3470,PI22913,MAC Field Scanner Season 4 Range 34 Column 8,133,308
3492,PI251672,MAC Field Scanner Season 4 Range 42 Column 5,122,380
3514,PI251672,MAC Field Scanner Season 4 Range 42 Column 6,122,356
3534,PI253986,MAC Field Scanner Season 4 Range 12 Column 5,122,316
3553,PI253986,MAC Field Scanner Season 4 Range 12 Column 6,122,331
3572,PI255744,MAC Field Scanner Season 4 Range 10 Column 13,122,359
3591,PI255744,MAC Field Scanner Season 4 Range 10 Column 14,122,337
3611,PI257599,MAC Field Scanner Season 4 Range 23 Column 11,122,352
3642,PI257599,MAC Field Scanner Season 4 Range 23 Column 12,133,366
3664,PI257600,MAC Field Scanner Season 4 Range 42 Column 3,122,339
3700,PI257600,MAC Field Scanner Season 4 Range 42 Column 4,132,377
3723,PI267573,MAC Field Scanner Season 4 Range 26 Column 11,133,362
3746,PI267573,MAC Field Scanner Season 4 Range 26 Column 12,133,321
3785,PI276837,MAC Field Scanner Season 4 Range 44 Column 15,132,339
3804,PI297155,MAC Field Scanner Season 4 Range 10 Column 7,122,276
3823,PI297155,MAC Field Scanner Season 4 Range 10 Column 8,122,304
3845,PI297155,MAC Field Scanner Season 4 Range 29 Column 11,133,382
3867,PI297155,MAC Field Scanner Season 4 Range 29 Column 12,133,338
3886,PI297171,MAC Field Scanner Season 4 Range 13 Column 3,122,339
3905,PI297171,MAC Field Scanner Season 4 Range 13 Column 4,122,338
3932,PI302252,MAC Field Scanner Season 4 Range 4 Column 11,133,377
3949,PI302252,MAC Field Scanner Season 4 Range 4 Column 12,122,359
3988,PI303658,MAC Field Scanner Season 4 Range 44 Column 11,132,363
4011,PI303658,MAC Field Scanner Season 4 Range 44 Column 12,124,338
4039,PI303658,MAC Field Scanner Season 4 Range 7 Column 3,133,348
4067,PI303658,MAC Field Scanner Season 4 Range 7 Column 4,133,339
4094,PI329286,MAC Field Scanner Season 4 Range 6 Column 7,133,387
4121,PI329286,MAC Field Scanner Season 4 Range 6 Column 8,133,406
