d3mIndex,cultivar,sitename,day,canopy_height
30,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,133,341
61,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,133,336
79,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,133,348
102,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,133,399
125,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,133,364
140,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,122,340
158,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,124,283
191,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,132,309
209,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,122,338
241,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,132,375
256,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,122,334
282,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,133,328
297,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,122,330
312,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,122,277
327,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,122,288
369,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,133,355
411,PI152727,MAC Field Scanner Season 4 Range 30 Column 9,133,344
446,PI152728,MAC Field Scanner Season 4 Range 44 Column 5,132,398
465,PI152728,MAC Field Scanner Season 4 Range 44 Column 6,124,313
488,PI152728,MAC Field Scanner Season 4 Range 5 Column 15,133,354
523,PI152730,MAC Field Scanner Season 4 Range 45 Column 11,132,370
558,PI152730,MAC Field Scanner Season 4 Range 45 Column 12,132,350
594,PI152733,MAC Field Scanner Season 4 Range 48 Column 13,132,399
630,PI152733,MAC Field Scanner Season 4 Range 48 Column 14,132,385
662,PI152751,MAC Field Scanner Season 4 Range 52 Column 11,132,350
679,PI152751,MAC Field Scanner Season 4 Range 52 Column 12,124,311
697,PI152771,MAC Field Scanner Season 4 Range 36 Column 7,122,364
729,PI152771,MAC Field Scanner Season 4 Range 36 Column 8,132,384
758,PI152816,MAC Field Scanner Season 4 Range 29 Column 3,133,298
787,PI152816,MAC Field Scanner Season 4 Range 29 Column 4,133,336
817,PI152923,MAC Field Scanner Season 4 Range 26 Column 10,133,366
847,PI152923,MAC Field Scanner Season 4 Range 26 Column 9,133,359
879,PI152923,MAC Field Scanner Season 4 Range 35 Column 5,132,333
897,PI152923,MAC Field Scanner Season 4 Range 35 Column 6,122,341
924,PI152961,MAC Field Scanner Season 4 Range 21 Column 7,133,348
940,PI152961,MAC Field Scanner Season 4 Range 21 Column 8,122,337
958,PI152961,MAC Field Scanner Season 4 Range 32 Column 3,133,347
976,PI152961,MAC Field Scanner Season 4 Range 32 Column 4,133,321
991,PI152971,MAC Field Scanner Season 4 Range 15 Column 13,122,361
1006,PI152971,MAC Field Scanner Season 4 Range 15 Column 14,122,312
1025,PI152971,MAC Field Scanner Season 4 Range 28 Column 3,133,300
1044,PI152971,MAC Field Scanner Season 4 Range 28 Column 4,133,316
1071,PI153877,MAC Field Scanner Season 4 Range 19 Column 5,133,376
1086,PI153877,MAC Field Scanner Season 4 Range 19 Column 6,122,376
1104,PI153877,MAC Field Scanner Season 4 Range 34 Column 10,133,328
1122,PI153877,MAC Field Scanner Season 4 Range 34 Column 9,133,337
1140,PI154844,MAC Field Scanner Season 4 Range 42 Column 7,122,348
1172,PI154844,MAC Field Scanner Season 4 Range 42 Column 8,132,344
1190,PI154846,MAC Field Scanner Season 4 Range 39 Column 15,122,350
1226,PI154944,MAC Field Scanner Season 4 Range 48 Column 5,132,370
1262,PI154944,MAC Field Scanner Season 4 Range 48 Column 6,129,378
1275,PI154987,MAC Field Scanner Season 4 Range 5 Column 10,122,369
1298,PI154987,MAC Field Scanner Season 4 Range 5 Column 9,133,361
1316,PI154988,MAC Field Scanner Season 4 Range 50 Column 13,124,336
1334,PI154988,MAC Field Scanner Season 4 Range 50 Column 14,124,329
1358,PI155516,MAC Field Scanner Season 4 Range 7 Column 13,133,383
1382,PI155516,MAC Field Scanner Season 4 Range 7 Column 14,133,368
1398,PI155760,MAC Field Scanner Season 4 Range 21 Column 11,122,359
1425,PI155760,MAC Field Scanner Season 4 Range 21 Column 12,133,373
1457,PI155760,MAC Field Scanner Season 4 Range 52 Column 7,128,389
1474,PI155760,MAC Field Scanner Season 4 Range 52 Column 8,124,383
1490,PI155885,MAC Field Scanner Season 4 Range 25 Column 11,122,334
1506,PI155885,MAC Field Scanner Season 4 Range 25 Column 12,122,350
1524,PI155885,MAC Field Scanner Season 4 Range 36 Column 3,122,341
1556,PI155885,MAC Field Scanner Season 4 Range 36 Column 4,132,339
1580,PI156178,MAC Field Scanner Season 4 Range 8 Column 10,133,376
1604,PI156178,MAC Field Scanner Season 4 Range 8 Column 9,133,394
1617,PI156217,MAC Field Scanner Season 4 Range 4 Column 13,122,325
1640,PI156217,MAC Field Scanner Season 4 Range 4 Column 14,133,368
1659,PI156268,MAC Field Scanner Season 4 Range 44 Column 10,124,369
1694,PI156268,MAC Field Scanner Season 4 Range 44 Column 9,132,387
1713,PI156326,MAC Field Scanner Season 4 Range 48 Column 15,124,319
1732,PI156487,MAC Field Scanner Season 4 Range 44 Column 7,124,364
1767,PI156487,MAC Field Scanner Season 4 Range 44 Column 8,132,399
1792,PI156890,MAC Field Scanner Season 4 Range 15 Column 7,133,340
1817,PI156890,MAC Field Scanner Season 4 Range 15 Column 8,133,357
1832,PI157030,MAC Field Scanner Season 4 Range 17 Column 13,122,332
1858,PI157030,MAC Field Scanner Season 4 Range 17 Column 14,133,370
1873,PI157035,MAC Field Scanner Season 4 Range 19 Column 13,122,323
1900,PI157035,MAC Field Scanner Season 4 Range 19 Column 14,133,350
1919,PI157035,MAC Field Scanner Season 4 Range 45 Column 15,124,322
1937,PI157804,MAC Field Scanner Season 4 Range 38 Column 13,122,378
1969,PI157804,MAC Field Scanner Season 4 Range 38 Column 14,132,365
1988,PI170787,MAC Field Scanner Season 4 Range 27 Column 10,133,340
2019,PI170787,MAC Field Scanner Season 4 Range 27 Column 9,133,340
2043,PI175919,MAC Field Scanner Season 4 Range 10 Column 5,133,337
2067,PI175919,MAC Field Scanner Season 4 Range 10 Column 6,133,320
2099,PI175919,MAC Field Scanner Season 4 Range 38 Column 7,132,381
2117,PI175919,MAC Field Scanner Season 4 Range 38 Column 8,122,356
2149,PI176766,MAC Field Scanner Season 4 Range 36 Column 10,128,397
2167,PI176766,MAC Field Scanner Season 4 Range 36 Column 9,122,390
2191,PI176766,MAC Field Scanner Season 4 Range 8 Column 3,133,316
2215,PI176766,MAC Field Scanner Season 4 Range 8 Column 4,133,307
2230,PI179749,MAC Field Scanner Season 4 Range 10 Column 11,122,358
2254,PI179749,MAC Field Scanner Season 4 Range 10 Column 12,133,369
2269,PI180348,MAC Field Scanner Season 4 Range 11 Column 7,122,272
2284,PI180348,MAC Field Scanner Season 4 Range 11 Column 8,122,264
2309,PI181080,MAC Field Scanner Season 4 Range 12 Column 10,133,268
2334,PI181080,MAC Field Scanner Season 4 Range 12 Column 9,133,253
2352,PI181080,MAC Field Scanner Season 4 Range 33 Column 3,133,282
2370,PI181080,MAC Field Scanner Season 4 Range 33 Column 4,133,273
2385,PI181083,MAC Field Scanner Season 4 Range 11 Column 10,122,266
2408,PI181083,MAC Field Scanner Season 4 Range 11 Column 9,133,281
2426,PI181083,MAC Field Scanner Season 4 Range 50 Column 3,124,293
2460,PI181083,MAC Field Scanner Season 4 Range 50 Column 4,132,312
2478,PI195754,MAC Field Scanner Season 4 Range 31 Column 3,133,310
2496,PI195754,MAC Field Scanner Season 4 Range 31 Column 4,133,298
2515,PI196586,MAC Field Scanner Season 4 Range 27 Column 13,133,357
2534,PI196586,MAC Field Scanner Season 4 Range 27 Column 14,133,343
2561,PI196598,MAC Field Scanner Season 4 Range 18 Column 5,133,349
2588,PI196598,MAC Field Scanner Season 4 Range 18 Column 6,133,320
2621,PI19770,MAC Field Scanner Season 4 Range 51 Column 15,132,334
2646,PI213900,MAC Field Scanner Season 4 Range 12 Column 13,133,286
2671,PI213900,MAC Field Scanner Season 4 Range 12 Column 14,133,331
2703,PI213900,MAC Field Scanner Season 4 Range 38 Column 3,132,311
2721,PI213900,MAC Field Scanner Season 4 Range 38 Column 4,122,304
2736,PI217691,MAC Field Scanner Season 4 Range 18 Column 11,122,336
2751,PI217691,MAC Field Scanner Season 4 Range 18 Column 12,122,316
2766,PI221548,MAC Field Scanner Season 4 Range 12 Column 11,122,296
2791,PI221548,MAC Field Scanner Season 4 Range 12 Column 12,133,297
2810,PI221651,MAC Field Scanner Season 4 Range 28 Column 13,133,342
2840,PI221651,MAC Field Scanner Season 4 Range 28 Column 14,133,290
2863,PI221651,MAC Field Scanner Season 4 Range 5 Column 5,133,394
2886,PI221651,MAC Field Scanner Season 4 Range 5 Column 6,132,395
2909,PI22913,MAC Field Scanner Season 4 Range 3 Column 5,133,397
2922,PI22913,MAC Field Scanner Season 4 Range 3 Column 6,122,394
2940,PI22913,MAC Field Scanner Season 4 Range 34 Column 7,133,338
2958,PI22913,MAC Field Scanner Season 4 Range 34 Column 8,133,308
2976,PI251672,MAC Field Scanner Season 4 Range 42 Column 5,122,380
2994,PI251672,MAC Field Scanner Season 4 Range 42 Column 6,122,356
3010,PI253986,MAC Field Scanner Season 4 Range 12 Column 5,122,316
3025,PI253986,MAC Field Scanner Season 4 Range 12 Column 6,122,331
3040,PI255744,MAC Field Scanner Season 4 Range 10 Column 13,122,359
3055,PI255744,MAC Field Scanner Season 4 Range 10 Column 14,122,337
3071,PI257599,MAC Field Scanner Season 4 Range 23 Column 11,122,352
3098,PI257599,MAC Field Scanner Season 4 Range 23 Column 12,133,366
3116,PI257600,MAC Field Scanner Season 4 Range 42 Column 3,122,339
3148,PI257600,MAC Field Scanner Season 4 Range 42 Column 4,132,377
3167,PI267573,MAC Field Scanner Season 4 Range 26 Column 11,133,362
3186,PI267573,MAC Field Scanner Season 4 Range 26 Column 12,133,321
3221,PI276837,MAC Field Scanner Season 4 Range 44 Column 15,132,339
3236,PI297155,MAC Field Scanner Season 4 Range 10 Column 7,122,276
3251,PI297155,MAC Field Scanner Season 4 Range 10 Column 8,122,304
3269,PI297155,MAC Field Scanner Season 4 Range 29 Column 11,133,382
3287,PI297155,MAC Field Scanner Season 4 Range 29 Column 12,133,338
3302,PI297171,MAC Field Scanner Season 4 Range 13 Column 3,122,339
3317,PI297171,MAC Field Scanner Season 4 Range 13 Column 4,122,338
3340,PI302252,MAC Field Scanner Season 4 Range 4 Column 11,133,377
3353,PI302252,MAC Field Scanner Season 4 Range 4 Column 12,122,359
3388,PI303658,MAC Field Scanner Season 4 Range 44 Column 11,132,363
3407,PI303658,MAC Field Scanner Season 4 Range 44 Column 12,124,338
3431,PI303658,MAC Field Scanner Season 4 Range 7 Column 3,133,348
3455,PI303658,MAC Field Scanner Season 4 Range 7 Column 4,133,339
3478,PI329286,MAC Field Scanner Season 4 Range 6 Column 7,133,387
3501,PI329286,MAC Field Scanner Season 4 Range 6 Column 8,133,406
3533,PI329299,MAC Field Scanner Season 4 Range 52 Column 13,132,337
3565,PI329299,MAC Field Scanner Season 4 Range 52 Column 14,132,326
3588,PI329300,MAC Field Scanner Season 4 Range 5 Column 13,133,322
3611,PI329300,MAC Field Scanner Season 4 Range 5 Column 14,133,338
3629,PI329310,MAC Field Scanner Season 4 Range 40 Column 3,122,243
3647,PI329310,MAC Field Scanner Season 4 Range 40 Column 4,122,285
3665,PI329319,MAC Field Scanner Season 4 Range 42 Column 13,122,351
3683,PI329319,MAC Field Scanner Season 4 Range 42 Column 14,122,356
3710,PI329326,MAC Field Scanner Season 4 Range 24 Column 13,133,312
3726,PI329326,MAC Field Scanner Season 4 Range 24 Column 14,122,311
3758,PI329326,MAC Field Scanner Season 4 Range 38 Column 10,132,318
3790,PI329326,MAC Field Scanner Season 4 Range 38 Column 9,132,331
3808,PI329333,MAC Field Scanner Season 4 Range 36 Column 5,122,355
3826,PI329333,MAC Field Scanner Season 4 Range 36 Column 6,122,355
3853,PI329338,MAC Field Scanner Season 4 Range 25 Column 15,133,379
3888,PI329338,MAC Field Scanner Season 4 Range 44 Column 13,132,318
3923,PI329338,MAC Field Scanner Season 4 Range 44 Column 14,132,322
3955,PI329351,MAC Field Scanner Season 4 Range 35 Column 13,132,357
3973,PI329351,MAC Field Scanner Season 4 Range 35 Column 14,122,329
3997,PI329351,MAC Field Scanner Season 4 Range 9 Column 11,132,403
4021,PI329351,MAC Field Scanner Season 4 Range 9 Column 12,132,404
4047,PI329394,MAC Field Scanner Season 4 Range 17 Column 10,133,354
4062,PI329394,MAC Field Scanner Season 4 Range 17 Column 9,122,393
4080,PI329394,MAC Field Scanner Season 4 Range 32 Column 13,133,354
4111,PI329394,MAC Field Scanner Season 4 Range 32 Column 14,133,345
4134,PI329403,MAC Field Scanner Season 4 Range 6 Column 10,133,393
4157,PI329403,MAC Field Scanner Season 4 Range 6 Column 9,133,374
4170,PI329465,MAC Field Scanner Season 4 Range 3 Column 3,122,344
4183,PI329465,MAC Field Scanner Season 4 Range 3 Column 4,122,314
4201,PI329471,MAC Field Scanner Season 4 Range 34 Column 11,133,331
4219,PI329471,MAC Field Scanner Season 4 Range 34 Column 12,133,338
4232,PI329473,MAC Field Scanner Season 4 Range 4 Column 3,122,340
4255,PI329473,MAC Field Scanner Season 4 Range 4 Column 4,133,366
4282,PI329478,MAC Field Scanner Season 4 Range 24 Column 11,133,333
